TrialID,BlockID,RefLoc,nTestDots,RefPaths,TestPaths,Responses,RT,TestMore,CorrectReponses
90,2,0,16,stimuli/main/ref_images/img_10_209.png,stimuli/main/test_images/img_16_459.png,-1,-1,-1,1
91,2,1,20,stimuli/main/ref_images/img_10_196.png,stimuli/main/test_images/img_20_496.png,-1,-1,-1,0
92,2,1,5,stimuli/main/ref_images/img_10_295.png,stimuli/main/test_images/img_05_495.png,-1,-1,-1,1
93,2,0,5,stimuli/main/ref_images/img_10_190.png,stimuli/main/test_images/img_05_490.png,-1,-1,-1,0
94,2,1,6,stimuli/main/ref_images/img_10_086.png,stimuli/main/test_images/img_06_486.png,-1,-1,-1,1
95,2,1,16,stimuli/main/ref_images/img_10_258.png,stimuli/main/test_images/img_16_458.png,-1,-1,-1,0
96,2,0,16,stimuli/main/ref_images/img_10_160.png,stimuli/main/test_images/img_16_460.png,-1,-1,-1,1
97,2,0,6,stimuli/main/ref_images/img_10_198.png,stimuli/main/test_images/img_06_498.png,-1,-1,-1,0
98,2,0,5,stimuli/main/ref_images/img_10_316.png,stimuli/main/test_images/img_05_466.png,-1,-1,-1,0
99,2,1,6,stimuli/main/ref_images/img_10_072.png,stimuli/main/test_images/img_06_472.png,-1,-1,-1,1
100,2,0,12,stimuli/main/ref_images/img_10_054.png,stimuli/main/test_images/img_12_454.png,-1,-1,-1,1
101,2,0,12,stimuli/main/ref_images/img_10_166.png,stimuli/main/test_images/img_12_466.png,-1,-1,-1,1
102,2,1,6,stimuli/main/ref_images/img_10_345.png,stimuli/main/test_images/img_06_495.png,-1,-1,-1,1
103,2,0,20,stimuli/main/ref_images/img_10_154.png,stimuli/main/test_images/img_20_454.png,-1,-1,-1,1
104,2,0,16,stimuli/main/ref_images/img_10_230.png,stimuli/main/test_images/img_16_480.png,-1,-1,-1,1
105,2,1,5,stimuli/main/ref_images/img_10_309.png,stimuli/main/test_images/img_05_459.png,-1,-1,-1,1
106,2,0,8,stimuli/main/ref_images/img_10_073.png,stimuli/main/test_images/img_08_473.png,-1,-1,-1,0
107,2,0,6,stimuli/main/ref_images/img_10_289.png,stimuli/main/test_images/img_06_489.png,-1,-1,-1,0
108,2,1,5,stimuli/main/ref_images/img_10_197.png,stimuli/main/test_images/img_05_497.png,-1,-1,-1,1
109,2,1,12,stimuli/main/ref_images/img_10_075.png,stimuli/main/test_images/img_12_475.png,-1,-1,-1,0
110,2,1,16,stimuli/main/ref_images/img_10_069.png,stimuli/main/test_images/img_16_469.png,-1,-1,-1,0
111,2,1,6,stimuli/main/ref_images/img_10_184.png,stimuli/main/test_images/img_06_484.png,-1,-1,-1,1
112,2,0,10,stimuli/main/ref_images/img_10_186.png,stimuli/main/test_images/img_10_486.png,-1,-1,-1,0
113,2,1,16,stimuli/main/ref_images/img_10_328.png,stimuli/main/test_images/img_16_478.png,-1,-1,-1,0
114,2,0,6,stimuli/main/ref_images/img_10_135.png,stimuli/main/test_images/img_06_485.png,-1,-1,-1,0
115,2,0,6,stimuli/main/ref_images/img_10_324.png,stimuli/main/test_images/img_06_474.png,-1,-1,-1,0
116,2,0,8,stimuli/main/ref_images/img_10_003.png,stimuli/main/test_images/img_08_453.png,-1,-1,-1,0
117,2,1,12,stimuli/main/ref_images/img_10_313.png,stimuli/main/test_images/img_12_463.png,-1,-1,-1,0
118,2,0,5,stimuli/main/ref_images/img_10_015.png,stimuli/main/test_images/img_05_465.png,-1,-1,-1,0
119,2,1,6,stimuli/main/ref_images/img_10_296.png,stimuli/main/test_images/img_06_496.png,-1,-1,-1,1
120,2,1,5,stimuli/main/ref_images/img_10_246.png,stimuli/main/test_images/img_05_496.png,-1,-1,-1,1
121,2,0,5,stimuli/main/ref_images/img_10_225.png,stimuli/main/test_images/img_05_475.png,-1,-1,-1,0
122,2,1,20,stimuli/main/ref_images/img_10_056.png,stimuli/main/test_images/img_20_456.png,-1,-1,-1,0
123,2,1,8,stimuli/main/ref_images/img_10_227.png,stimuli/main/test_images/img_08_477.png,-1,-1,-1,1
124,2,0,6,stimuli/main/ref_images/img_10_079.png,stimuli/main/test_images/img_06_479.png,-1,-1,-1,0
125,2,1,8,stimuli/main/ref_images/img_10_108.png,stimuli/main/test_images/img_08_458.png,-1,-1,-1,1
126,2,0,10,stimuli/main/ref_images/img_10_200.png,stimuli/main/test_images/img_10_500.png,-1,-1,-1,0
127,2,0,8,stimuli/main/ref_images/img_10_290.png,stimuli/main/test_images/img_08_490.png,-1,-1,-1,0
128,2,1,10,stimuli/main/ref_images/img_10_011.png,stimuli/main/test_images/img_10_461.png,-1,-1,-1,1
129,2,1,8,stimuli/main/ref_images/img_10_234.png,stimuli/main/test_images/img_08_484.png,-1,-1,-1,1
130,2,0,12,stimuli/main/ref_images/img_10_320.png,stimuli/main/test_images/img_12_470.png,-1,-1,-1,1
131,2,1,12,stimuli/main/ref_images/img_10_278.png,stimuli/main/test_images/img_12_478.png,-1,-1,-1,0
132,2,1,20,stimuli/main/ref_images/img_10_224.png,stimuli/main/test_images/img_20_474.png,-1,-1,-1,0
133,2,0,6,stimuli/main/ref_images/img_10_002.png,stimuli/main/test_images/img_06_452.png,-1,-1,-1,0
134,2,0,10,stimuli/main/ref_images/img_10_298.png,stimuli/main/test_images/img_10_498.png,-1,-1,-1,0
135,2,0,8,stimuli/main/ref_images/img_10_192.png,stimuli/main/test_images/img_08_492.png,-1,-1,-1,0
136,2,0,12,stimuli/main/ref_images/img_10_033.png,stimuli/main/test_images/img_12_483.png,-1,-1,-1,1
137,2,0,12,stimuli/main/ref_images/img_10_068.png,stimuli/main/test_images/img_12_468.png,-1,-1,-1,1
138,2,1,20,stimuli/main/ref_images/img_10_049.png,stimuli/main/test_images/img_20_499.png,-1,-1,-1,0
139,2,0,8,stimuli/main/ref_images/img_10_122.png,stimuli/main/test_images/img_08_472.png,-1,-1,-1,0
140,2,0,6,stimuli/main/ref_images/img_10_009.png,stimuli/main/test_images/img_06_459.png,-1,-1,-1,0
141,3,0,6,stimuli/main/ref_images/img_10_205.png,stimuli/main/test_images/img_06_455.png,-1,-1,-1,0
142,3,1,20,stimuli/main/ref_images/img_10_140.png,stimuli/main/test_images/img_20_490.png,-1,-1,-1,0
143,3,0,12,stimuli/main/ref_images/img_10_019.png,stimuli/main/test_images/img_12_469.png,-1,-1,-1,1
144,3,1,5,stimuli/main/ref_images/img_10_120.png,stimuli/main/test_images/img_05_470.png,-1,-1,-1,1
145,3,1,20,stimuli/main/ref_images/img_10_091.png,stimuli/main/test_images/img_20_491.png,-1,-1,-1,0
146,3,0,12,stimuli/main/ref_images/img_10_257.png,stimuli/main/test_images/img_12_457.png,-1,-1,-1,1
147,3,1,20,stimuli/main/ref_images/img_10_322.png,stimuli/main/test_images/img_20_472.png,-1,-1,-1,0
148,3,1,5,stimuli/main/ref_images/img_10_204.png,stimuli/main/test_images/img_05_454.png,-1,-1,-1,1
149,3,1,5,stimuli/main/ref_images/img_10_169.png,stimuli/main/test_images/img_05_469.png,-1,-1,-1,1
150,3,1,8,stimuli/main/ref_images/img_10_087.png,stimuli/main/test_images/img_08_487.png,-1,-1,-1,1
151,3,1,12,stimuli/main/ref_images/img_10_082.png,stimuli/main/test_images/img_12_482.png,-1,-1,-1,0
152,3,0,10,stimuli/main/ref_images/img_10_333.png,stimuli/main/test_images/img_10_483.png,-1,-1,-1,0
153,3,0,20,stimuli/main/ref_images/img_10_287.png,stimuli/main/test_images/img_20_487.png,-1,-1,-1,1
154,3,0,10,stimuli/main/ref_images/img_10_235.png,stimuli/main/test_images/img_10_485.png,-1,-1,-1,0
155,3,0,10,stimuli/main/ref_images/img_10_095.png,stimuli/main/test_images/img_10_495.png,-1,-1,-1,0
156,3,0,20,stimuli/main/ref_images/img_10_007.png,stimuli/main/test_images/img_20_457.png,-1,-1,-1,1
157,3,1,12,stimuli/main/ref_images/img_10_341.png,stimuli/main/test_images/img_12_491.png,-1,-1,-1,0
158,3,1,6,stimuli/main/ref_images/img_10_093.png,stimuli/main/test_images/img_06_493.png,-1,-1,-1,1
159,3,1,16,stimuli/main/ref_images/img_10_090.png,stimuli/main/test_images/img_16_490.png,-1,-1,-1,0
